Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,1.4521207E+0,3.0000000E+0,,,
,0.0000000E+0,1.4561210E+0,8.0000000E+0,,,
,0.0000000E+0,1.4601213E+0,1.3000000E+1,,,
,0.0000000E+0,1.4641217E+0,3.0000000E+0,,,
,0.0000000E+0,1.4681220E+0,5.0000000E+0,,,
,0.0000000E+0,1.4721223E+0,5.0000000E+0,,,
,0.0000000E+0,1.4761227E+0,4.0000000E+0,,,
,0.0000000E+0,1.4801230E+0,3.0000000E+0,,,
,0.0000000E+0,1.4841233E+0,4.0000000E+0,,,
,0.0000000E+0,1.4881237E+0,4.0000000E+0,,,
,0.0000000E+0,1.4921240E+0,6.0000000E+0,,,
,0.0000000E+0,1.4961243E+0,8.0000000E+0,,,
,0.0000000E+0,1.5001247E+0,2.0000000E+0,,,
,0.0000000E+0,1.5041250E+0,3.0000000E+0,,,
,0.0000000E+0,1.5081253E+0,3.0000000E+0,,,
,0.0000000E+0,1.5121257E+0,4.0000000E+0,,,
,0.0000000E+0,1.5161260E+0,1.0000000E+0,,,
,0.0000000E+0,1.5201263E+0,8.0000000E+0,,,
,0.0000000E+0,1.5241267E+0,1.0000000E+1,,,
,0.0000000E+0,1.5281270E+0,7.0000000E+0,,,
,0.0000000E+0,1.5321273E+0,6.0000000E+0,,,
,0.0000000E+0,1.5361277E+0,6.0000000E+0,,,
,0.0000000E+0,1.5401280E+0,4.0000000E+0,,,
,0.0000000E+0,1.5441283E+0,7.0000000E+0,,,
,0.0000000E+0,1.5481287E+0,6.0000000E+0,,,
,0.0000000E+0,1.5521290E+0,7.0000000E+0,,,
,0.0000000E+0,1.5561293E+0,7.0000000E+0,,,
,0.0000000E+0,1.5601296E+0,4.0000000E+0,,,
,0.0000000E+0,1.5641300E+0,6.0000000E+0,,,
,0.0000000E+0,1.5681303E+0,9.0000000E+0,,,
,0.0000000E+0,1.5721306E+0,7.0000000E+0,,,
,0.0000000E+0,1.5761310E+0,6.0000000E+0,,,
,0.0000000E+0,1.5801313E+0,9.0000000E+0,,,
,0.0000000E+0,1.5841316E+0,6.0000000E+0,,,
,0.0000000E+0,1.5881320E+0,7.0000000E+0,,,
,0.0000000E+0,1.5921323E+0,7.0000000E+0,,,
,0.0000000E+0,1.5961326E+0,7.0000000E+0,,,
,0.0000000E+0,1.6001330E+0,9.0000000E+0,,,
,0.0000000E+0,1.6041333E+0,6.0000000E+0,,,
,0.0000000E+0,1.6081336E+0,7.0000000E+0,,,
,0.0000000E+0,1.6121340E+0,5.0000000E+0,,,
,0.0000000E+0,1.6161343E+0,5.0000000E+0,,,
,0.0000000E+0,1.6201346E+0,2.0000000E+0,,,
,0.0000000E+0,1.6241350E+0,4.0000000E+0,,,
,0.0000000E+0,1.6281353E+0,2.0000000E+0,,,
,0.0000000E+0,1.6321356E+0,2.0000000E+0,,,
,0.0000000E+0,1.6361360E+0,1.0000000E+0,,,
,0.0000000E+0,1.6401363E+0,8.0000000E+0,,,
,0.0000000E+0,1.6441366E+0,9.0000000E+0,,,
,0.0000000E+0,1.6481370E+0,7.0000000E+0,,,
,0.0000000E+0,1.6521373E+0,5.0000000E+0,,,
,0.0000000E+0,1.6561376E+0,1.0000000E+0,,,
,0.0000000E+0,1.6601380E+0,6.0000000E+0,,,
,0.0000000E+0,1.6641383E+0,2.0000000E+0,,,
,0.0000000E+0,1.6681386E+0,4.0000000E+0,,,
,0.0000000E+0,1.6721390E+0,7.0000000E+0,,,
,0.0000000E+0,1.6761393E+0,1.0000000E+0,,,
,0.0000000E+0,1.6801396E+0,5.0000000E+0,,,
,0.0000000E+0,1.6841400E+0,8.0000000E+0,,,
,0.0000000E+0,1.6881403E+0,2.0000000E+0,,,
,0.0000000E+0,1.6921406E+0,5.0000000E+0,,,
,0.0000000E+0,1.6961410E+0,8.0000000E+0,,,
,0.0000000E+0,1.7001413E+0,2.0000000E+0,,,
,0.0000000E+0,1.7041416E+0,6.0000000E+0,,,
,0.0000000E+0,1.7081419E+0,5.0000000E+0,,,
,0.0000000E+0,1.7121423E+0,4.0000000E+0,,,
